ID,Edad,Sexo,Estado_Civil,Numero_Hijos,Nivel_Educativo,Zona_Vivienda,Estrato,Sector,Tamaño_Empresa,Trabajo_Turnos,Tipo_Contrato,Horas_Semana,Ingreso,Tipo_Cargo,Personas_Cargo,Años_Experiencia,Antiguedad_Cargo,Modalidad,Horas_Traslado,Horas_Formacion,CT1,CT2,CT3,PT1,PT2,PT3,PT4,CL1,CL2,CL3,CL4,CL5,CL6,CL7,AC1,AC2,AC3,CR1,CR2,CR3,CR4,CoR1,CoR2,CoR3,GC1,GC2,GC3,GC4,SM1,SM2,SM3,SM4,SM5,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,IR1,IR2,IR3,IR4,FT1,FT2,FT3,FT4,FT5,TF1,TF2,TF3,TF4,TF5,BU1,BU2,BU3,BU4,BU5,BU6,BU7,BU8,BU9,BU10,BU11,BU12,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,SOM1,SOM2,SOM3,SOM4,SOM5,DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,IR1_original,outlier_flag,CTRL,PRES,LIDER,COMP,ROL_C,ROL_CON,CAMBIO,SM_ORG,SAT,RETIRO,FAM_TRAB,TRAB_FAM,BURNOUT,BIENESTAR,SOMATIZ,DESGASTE
11,39,Hombre,Casado,1,Profesional,Urbana,3.0,Público,Más de 500 empleados,No,Libre nombramiento y remocion,45,Entre 3 y 5 SMLV,Administrativo,Si,Entre 1 a 5,Entre 3 y 7 años,Presencial,Entre 2 y 3 horas,39.0,3.0,3.0,,2.0,3.0,2.0,,4.0,4.0,4.0,4.0,5.0,,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,6.0,6.0,,6.0,1.0,1.0,2.0,1.0,,3.0,2.0,3.0,3.0,2.0,,,2.0,4.0,2.0,4.0,2.0,2.0,,1.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,0,3.0,2.333,4.0,4.0,4.0,1.667,3.75,2.25,3.222,6.0,1.25,2.6,2.667,4.3,4.2,3.875
12,39,Hombre,Unión libre,2,Profesional,Urbana,5.0,Mixto,Entre 50 y 200 empleados,Si,Otro,40,Entre 1 y 3 SMLV,Operativo,Si,Entre 10 a 15,Entre 1 y 3 años,Presencial,Entre 2 y 3 horas,14.0,1.0,3.0,1.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0,5.0,6.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,,,1.0,2.0,2.0,,2.0,2.0,5.0,0,1.667,4.0,4.333,5.0,4.75,3.667,3.25,3.0,4.667,3.5,3.0,5.6,2.917,5.7,3.0,1.8
13,43,Hombre,Soltero,1,Posgrado,Urbana,2.0,Mixto,Entre 200 y 500 empleados,No,Carrera,38,Entre 1 y 3 SMLV,Operativo,No,Entre 5 a 10,Entre 3 y 7 años,Presencial,Menos de 1 hora,34.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,0,3.0,3.0,3.0,2.0,4.0,2.667,1.75,2.6,5.333,3.5,1.4,4.2,4.909,5.4,3.75,3.5
14,45,Mujer,Unión libre,Sin hijos,Posgrado,Urbana,3.0,Público,Entre 50 y 200 empleados,No,Provisionalidad,40,Entre 1 y 3 SMLV,Administrativo,No,Entre 15 a 20,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,10.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,5.0,6.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,1.0,1.0,2.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,0,3.333,3.25,3.0,4.0,3.75,2.5,3.75,4.0,5.25,4.0,4.0,5.8,1.333,5.7,1.5,4.5
15,70,Mujer,Soltero,Sin hijos,Técnico,Urbana,2.0,Público,Más de 500 empleados,No,Presentación de servicios,50,Entre 1 y 3 SMLV,Directivo,No,Entre 1 a 5,Entre 1 y 3 años,Presencial,Menos de 1 hora,17.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,5.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,,,2.0,2.0,4.0,4.0,4.0,4.0,,3.0,4.0,6.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,7.0,7.0,6.0,,7.0,7.0,7.0,7.0,6.0,7.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,1,3.667,1.75,4.167,3.333,4.25,1.333,2.0,4.0,4.333,4.25,1.2,1.4,1.583,6.778,2.4,2.75
17,37,Mujer,Unión libre,3,Profesional,Rural,3.0,Mixto,Entre 50 y 200 empleados,No,Presentación de servicios,44,Entre 1 y 3 SMLV,Administrativo,No,Menos de 1 año,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,8.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,5.0,5.0,,4.0,6.0,,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,,4.0,3.0,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,0,2.667,3.0,2.5,3.0,5.0,2.667,3.667,2.2,5.125,2.0,2.8,3.333,1.273,6.1,2.6,1.25
18,39,Mujer,Unión libre,4,Posgrado,Urbana,2.0,Mixto,Entre 50 y 200 empleados,Si,Término fijo,44,Entre 1 y 3 SMLV,Directivo,No,Entre 1 a 5,Entre 1 y 3 años,Presencial,Menos de 1 hora,-1.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,,4.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,,4.0,5.0,2.0,1.0,2.0,2.0,1.0,4.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,2.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,0,4.333,3.0,4.333,3.667,4.5,2.333,4.333,1.6,5.222,3.25,2.2,4.6,1.636,4.4,4.4,1.5
19,43,Hombre,Unión libre,2,Posgrado,Urbana,4.0,Público,Entre 200 y 500 empleados,Si,Carrera,46,Entre 1 y 3 SMLV,Administrativo,No,Entre 5 a 10,Más de 10 años,Presencial,Entre 1 y 2 horas,73.0,5.0,2.0,4.0,3.0,,2.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,,4.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,0,3.667,2.667,4.714,4.333,3.75,2.333,4.75,3.6,4.25,3.75,1.4,2.2,1.167,6.1,3.6,4.0
20,55,Hombre,Soltero,2,Bachiller,Urbana,4.0,Público,Entre 10 y 50 empleados,No,Carrera,46,Entre 1 y 3 SMLV,Administrativo,No,Entre 5 a 10,Entre 3 y 7 años,Presencial,Entre 1 y 2 horas,43.0,4.0,,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,,4.0,5.0,4.0,5.0,1.0,3.0,3.0,,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,7.0,,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,4.0,7.0,0,4.0,1.75,3.286,3.5,4.5,2.333,3.333,2.6,6.556,1.0,2.25,1.0,2.0,6.556,1.4,3.25
21,29,Hombre,Soltero,1,Profesional,Urbana,4.0,Público,Entre 200 y 500 empleados,No,Otro,43,Entre 1 y 3 SMLV,Administrativo,No,Entre 15 a 20,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,10.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,,3.0,3.0,4.0,5.0,4.0,4.0,2.0,,2.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,,,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,,2.0,2.0,,4.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,0,4.667,3.25,4.5,3.0,4.25,2.0,3.5,4.4,3.875,5.0,2.0,2.8,2.8,6.5,1.4,2.625
22,40,Hombre,Casado,1,Profesional,Urbana,1.5,Público,Entre 200 y 500 empleados,No,Carrera,54,Entre 3 y 5 SMLV,Administrativo,No,Entre 10 a 15,Entre 3 y 7 años,Presencial,Entre 1 y 2 horas,12.0,4.0,5.0,4.0,,1.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,,4.0,4.0,4.0,,4.0,1.0,1.0,2.0,2.0,1.0,3.0,,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,2.0,2.0,1.0,,1.0,2.0,,3.0,1.0,2.0,3.0,3.0,4.0,4.0,1,4.333,1.667,4.571,4.667,4.5,1.333,4.0,3.0,4.625,4.0,1.4,2.5,1.083,5.9,1.5,2.571
23,37,Mujer,Unión libre,1,Profesional,Urbana,3.0,Mixto,Entre 200 y 500 empleados,No,Presentación de servicios,57,Entre 1 y 3 SMLV,Administrativo,No,Más de 25,Entre 1 y 3 años,Presencial,Entre 1 y 2 horas,6.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,,,3.0,4.0,4.0,4.0,5.0,4.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,1.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,7.0,0,4.667,1.75,3.0,3.333,5.0,3.0,3.0,4.2,6.444,1.25,1.4,2.8,1.1,5.5,1.8,1.2
24,26,Hombre,Unión libre,2,Profesional,Rural,4.0,Público,Entre 50 y 200 empleados,No,Carrera,37,Entre 1 y 3 SMLV,Administrativo,No,Entre 20 a 25,Entre 3 y 7 años,Presencial,Menos de 1 hora,5.0,,1.0,1.0,5.0,5.0,5.0,5.0,1.0,,1.0,1.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,,1.0,1.0,,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,5.0,7.0,7.0,5.0,5.0,7.0,,5.0,5.0,7.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,0,1.0,5.0,1.333,4.333,5.0,3.667,1.0,2.4,3.875,4.5,1.4,1.6,5.636,2.1,4.8,4.25
